scenario,seed,total_profit,coalition_profit,mean_profit,final_gini,participation_rate
no_collusion,0,1.8908485888147197e-15,0.0,1.89084858881472e-18,0.32595498932347416,0.566625
collusion_weighted_mean,0,2.942091015256665e-15,12.049726958485184,2.9420910152566647e-18,0.3823919401209539,0.6848181818181819
collusion_weighted_median,0,3.298576689569899e-14,11.048102194552076,3.298576689569899e-17,0.3722261479307947,0.6848181818181819
no_collusion,1,-3.2751579226442118e-15,0.0,-3.2751579226442116e-18,0.21799407979101584,0.53425
collusion_weighted_mean,1,-3.5936531528335536e-14,14.51902633395389,-3.593653152833554e-17,0.33514100118685747,0.6612727272727272
collusion_weighted_median,1,-2.5951463200613034e-15,12.194587465976417,-2.5951463200613034e-18,0.3133814988292203,0.6612727272727272
no_collusion,2,1.91027749174566e-14,0.0,1.91027749174566e-17,0.5173970465511578,0.49425
collusion_weighted_mean,2,-7.4870665223159e-15,20.66333912113996,-7.487066522315899e-18,0.4494478160056216,0.6321818181818182
collusion_weighted_median,2,3.410466353770403e-14,17.08866521268963,3.410466353770403e-17,0.4290140387744434,0.6321818181818182
no_collusion,3,-9.658940314238862e-15,0.0,-9.658940314238861e-18,0.5054904729724129,0.55025
collusion_weighted_mean,3,-4.1838060793608634e-14,23.26424933474783,-4.183806079360863e-17,0.45069706751569705,0.6729090909090909
collusion_weighted_median,3,-7.636252741249905e-15,21.748129521867373,-7.636252741249905e-18,0.4373642918382125,0.6729090909090909
no_collusion,4,-6.6058269965196814e-15,0.0,-6.605826996519681e-18,0.24213690056806467,0.55475
collusion_weighted_mean,4,-5.919570389423257e-14,22.2652637901098,-5.919570389423257e-17,0.29596192328953447,0.6761818181818181
collusion_weighted_median,4,1.1657341758564144e-14,18.581432304136253,1.1657341758564143e-17,0.26454544879750536,0.6761818181818181
no_collusion,5,-7.605027718682322e-15,0.0,-7.605027718682323e-18,0.3126872714184623,0.527125
collusion_weighted_mean,5,-1.9435841824844147e-14,13.918081099163201,-1.9435841824844148e-17,0.282962001002956,0.6560909090909091
collusion_weighted_median,5,-3.615163723935666e-15,12.14960607670946,-3.615163723935666e-18,0.2718960278704431,0.6560909090909091
no_collusion,6,-6.2189836613768534e-15,0.0,-6.218983661376853e-18,0.27945983966249455,0.618125
collusion_weighted_mean,6,-3.097955919573181e-14,19.95491464416862,-3.097955919573181e-17,0.4257732460007908,0.7222727272727273
collusion_weighted_median,6,-3.3487101980256284e-14,17.21611870823763,-3.348710198025628e-17,0.3994409759864503,0.7222727272727273
no_collusion,7,-7.549516567451064e-15,0.0,-7.549516567451065e-18,0.25069209930401765,0.55875
collusion_weighted_mean,7,-6.034062138837726e-14,20.513539497470436,-6.034062138837726e-17,0.4093063386760241,0.6790909090909091
collusion_weighted_median,7,9.908740494779522e-15,13.415112735722898,9.908740494779522e-18,0.33560533208828747,0.6790909090909091
no_collusion,8,1.289246487345963e-14,0.0,1.2892464873459631e-17,0.3968912059828597,0.582875
collusion_weighted_mean,8,-4.092212679829288e-15,48.51238194172058,-4.092212679829288e-18,0.5975465764759678,0.6966363636363636
collusion_weighted_median,8,5.800904461644718e-14,46.34855033521675,5.800904461644718e-17,0.5803607483609696,0.6966363636363636
no_collusion,9,-7.147060721024445e-15,0.0,-7.147060721024445e-18,0.3848094111878394,0.5415
collusion_weighted_mean,9,-5.211803211224719e-14,14.627490537750909,-5.2118032112247193e-17,0.4174247214728282,0.6665454545454546
collusion_weighted_median,9,2.3370194668359545e-14,11.781006649998362,2.3370194668359544e-17,0.3933213639252994,0.6665454545454546
no_collusion,10,-4.3298697960381105e-15,0.0,-4.3298697960381105e-18,0.2675860308248608,0.574375
collusion_weighted_mean,10,8.951173136040325e-16,8.56560567514551,8.951173136040325e-19,0.2816244672264197,0.6904545454545454
collusion_weighted_median,10,6.439293542825908e-15,3.6652468137984293,6.439293542825908e-18,0.23864890463164795,0.6904545454545454
no_collusion,11,-1.1206313654810174e-14,0.0,-1.1206313654810174e-17,0.255901498784682,0.53
collusion_weighted_mean,11,-1.0096090630185017e-14,25.596225628676695,-1.0096090630185018e-17,0.4123179651693179,0.6581818181818182
collusion_weighted_median,11,-2.704086954352647e-14,23.49272886189796,-2.7040869543526468e-17,0.39313933717839483,0.6581818181818182
no_collusion,12,1.549455008742484e-14,0.0,1.5494550087424842e-17,0.4110967239929307,0.584125
collusion_weighted_mean,12,3.785166624581393e-14,20.25198039652418,3.785166624581393e-17,0.44838120513784946,0.6975454545454546
collusion_weighted_median,12,-6.3352101342672995e-15,18.545413825435556,-6.3352101342673e-18,0.43751634494542474,0.6975454545454546
no_collusion,13,5.551115123125783e-15,0.0,5.551115123125783e-18,0.31952705521294916,0.563
collusion_weighted_mean,13,2.8171909249863347e-14,8.216663023634009,2.8171909249863345e-17,0.27854617385852914,0.6821818181818181
collusion_weighted_median,13,3.913536161803677e-14,7.6227597650865935,3.9135361618036766e-17,0.28271423458328426,0.6821818181818181
no_collusion,14,-5.034861416675085e-14,0.0,-5.034861416675085e-17,0.40588578548729176,0.628
collusion_weighted_mean,14,-1.7253559692065323e-14,31.176210096450077,-1.7253559692065323e-17,0.4962137593302541,0.7294545454545454
collusion_weighted_median,14,6.238065619612598e-15,29.394460440636916,6.2380656196125985e-18,0.48000311352480385,0.7294545454545454
no_collusion,15,-1.3655743202889425e-14,0.0,-1.3655743202889425e-17,0.18963792462158185,0.5575
collusion_weighted_mean,15,-3.544387006115812e-14,13.200817192795514,-3.544387006115812e-17,0.2375489531990316,0.6781818181818182
collusion_weighted_median,15,1.4710455076283324e-15,9.969081996020812,1.4710455076283324e-18,0.21394841575770154,0.6781818181818182
no_collusion,16,1.5765166949677223e-14,0.0,1.576516694967722e-17,0.2678706954157763,0.5665
collusion_weighted_mean,16,1.1074474670635936e-14,21.086894835377983,1.1074474670635937e-17,0.3679214604646611,0.6847272727272727
collusion_weighted_median,16,1.2295719997723609e-14,11.862119286120109,1.2295719997723609e-17,0.32450418385061325,0.6847272727272727
no_collusion,17,-5.134781488891349e-15,0.0,-5.134781488891349e-18,0.29757678284425026,0.504375
collusion_weighted_mean,17,4.135580766728708e-15,13.250140599252553,4.135580766728708e-18,0.29262881206246594,0.6395454545454545
collusion_weighted_median,17,5.245803791353865e-15,11.073776634614765,5.245803791353865e-18,0.2894447574043142,0.6395454545454545
no_collusion,18,2.042810365310288e-14,0.0,2.042810365310288e-17,0.40013310866362134,0.554
collusion_weighted_mean,18,-3.558264793923627e-14,6.7324104900575845,-3.558264793923627e-17,0.34216335095526973,0.6756363636363637
collusion_weighted_median,18,-1.0408340855860843e-15,3.7944112885764385,-1.0408340855860842e-18,0.3469660000728008,0.6756363636363637
no_collusion,19,2.0136670109138777e-14,0.0,2.0136670109138778e-17,0.4274875176131495,0.64025
collusion_weighted_mean,19,-1.6667223157185163e-14,38.97410916423506,-1.6667223157185163e-17,0.5768890665316978,0.7383636363636363
collusion_weighted_median,19,-5.24615073604906e-14,36.195872283548454,-5.24615073604906e-17,0.5524586843690017,0.7383636363636363
