method,seed,mean_crps,delta_crps_vs_equal,delta_gini_vs_equal,delta_hhi_vs_equal,delta_n_eff_vs_equal,mean_HHI,mean_N_eff,final_gini
equal,0,0.054653593345838185,0.0,nan,0.0,0.0,0.1287405062080048,7.993297745799034,nan
stake_only,0,0.05292955423795754,-0.0017240391078806455,nan,0.7942756781678152,-6.828052928888703,0.92301618437582,1.165244816910331,0.8999999321391968
skill_only,0,0.054147530287641646,-0.0005060630581965389,nan,0.0002501977965869151,-0.01565402943043903,0.12899070400459173,7.977643716368595,nan
blended,0,0.054653593345838185,0.0,nan,0.0,0.0,0.1287405062080048,7.993297745799034,nan
bankroll,0,0.05117388243675633,-0.0034797109090818554,nan,0.7862079261030464,-6.80997646114175,0.9149484323110512,1.183321284657284,0.8999996734944312
equal,1,0.05430859711827349,0.0,nan,0.0,0.0,0.12893203082291743,7.98545740529687,nan
stake_only,1,0.053903791305423596,-0.0004048058128498927,nan,0.7945634225928151,-6.8177030644818055,0.9234954534157325,1.1677543408150644,0.8999999787358784
skill_only,1,0.05380836046156048,-0.0005002366567130115,nan,0.00024678956104409733,-0.015415216205779458,0.12917882038396153,7.970042189091091,nan
blended,1,0.05430859711827349,0.0,nan,0.0,0.0,0.12893203082291743,7.98545740529687,nan
bankroll,1,0.05205097404751898,-0.0022576230707545067,nan,0.7869832426263677,-6.80015362193121,0.915915273449285,1.1853037833656597,0.8999998824002488
equal,2,0.05460348033023186,0.0,nan,0.0,0.0,0.1289860086429099,7.984506950926407,nan
stake_only,2,0.05314255144756251,-0.0014609288826693476,nan,0.7863784090100295,-6.805474595184359,0.9153644176529394,1.1790323557420477,0.899999946878918
skill_only,2,0.05410374121826688,-0.000499739111964978,nan,0.00024802366306769796,-0.015469145389827688,0.1292340323059776,7.969037805536579,nan
blended,2,0.05460348033023186,0.0,nan,0.0,0.0,0.1289860086429099,7.984506950926407,nan
bankroll,2,0.05130973551436033,-0.0032937448158715313,nan,0.777887031377146,-6.786185062648631,0.9068730400200559,1.1983218882777757,0.8999997272657763
equal,3,0.05443320927279207,0.0,nan,0.0,0.0,0.12884864662306442,7.9925330611659335,nan
stake_only,3,0.053081935258487256,-0.0013512740143048138,nan,0.7979801831145461,-6.838068926954865,0.9268288297376105,1.1544641342110689,0.8999999757408913
skill_only,3,0.053931138905376166,-0.0005020703674159036,nan,0.0002475530242762314,-0.015475883449956207,0.12909619964734065,7.977057177715977,nan
blended,3,0.05443320927279207,0.0,nan,0.0,0.0,0.12884864662306442,7.9925330611659335,nan
bankroll,3,0.05142879371290893,-0.003004415559883143,nan,0.790419787232192,-6.821169209673638,0.9192684338552564,1.1713638514922962,0.8999998659493837
equal,4,0.05445075108190316,0.0,nan,0.0,0.0,0.12885667965619446,7.9909286323959385,nan
stake_only,4,0.053781765315160136,-0.0006689857667430271,nan,0.7879607777213318,-6.812623709113845,0.9168174573775262,1.1783049232820928,0.8999999445034911
skill_only,4,0.053949586635799185,-0.0005011644461039785,nan,0.0002473413349005915,-0.01546051243198221,0.12910402099109505,7.975468119963956,nan
blended,4,0.05445075108190316,0.0,nan,0.0,0.0,0.12885667965619446,7.9909286323959385,nan
bankroll,4,0.051663885317175896,-0.002786865764727267,nan,0.7800310306217966,-6.7942198920763035,0.908887710277991,1.1967087403196348,0.899999722592888
equal,5,0.054323655867033346,0.0,nan,0.0,0.0,0.12897314428540865,7.985728544958623,nan
stake_only,5,0.05357702570621474,-0.0007466301608186066,nan,0.7983108325230761,-6.831376636001229,0.9272839768084847,1.154351908957394,0.8999999642611595
skill_only,5,0.05382416592908987,-0.0004994899379434786,nan,0.0002482677392000032,-0.015511059666961202,0.12922141202460866,7.970217485291662,nan
blended,5,0.054323655867033346,0.0,nan,0.0,0.0,0.12897314428540865,7.985728544958623,nan
bankroll,5,0.05184543025559197,-0.0024782256114413773,nan,0.7906049130296466,-6.814743809631623,0.9195780573150553,1.1709847353270002,0.8999998178714432
equal,6,0.05430375309813079,0.0,nan,0.0,0.0,0.12861417305661818,8.00237958698566,nan
stake_only,6,0.05284528911283017,-0.001458463985300619,nan,0.7968666325999356,-6.840916662914362,0.9254808056565538,1.161462924071298,0.8999999828733779
skill_only,6,0.05380290979473952,-0.0005008433033912713,nan,0.0002465822761311409,-0.015470447252244668,0.12886075533274932,7.986909139733415,nan
blended,6,0.05430375309813079,0.0,nan,0.0,0.0,0.12861417305661818,8.00237958698566,nan
bankroll,6,0.05117989318301778,-0.003123859915113013,nan,0.7889959618896409,-6.822998548101944,0.9176101349462591,1.1793810388837151,0.8999999029140058
equal,7,0.05419504681335939,0.0,nan,0.0,0.0,0.12849125392413682,8.010317195423767,nan
stake_only,7,0.054498386672239094,0.00030333985887970316,nan,0.7992126846643169,-6.8543749033527135,0.9277039385884538,1.1559422920710527,0.899999976433484
skill_only,7,0.053699513497028326,-0.0004955333163310649,nan,0.00024405926090687036,-0.015336139305995644,0.1287353131850437,7.994981056117771,nan
blended,7,0.05419504681335939,0.0,nan,0.0,0.0,0.12849125392413682,8.010317195423767,nan
bankroll,7,0.05253189551251176,-0.0016631513008476331,nan,0.7917021668281866,-6.8377231981940465,0.9201934207523235,1.1725939972297197,0.8999998706694649
equal,8,0.054333109982431946,0.0,nan,0.0,0.0,0.1293674288371187,7.970955500298074,nan
stake_only,8,0.053612446854486295,-0.0007206631279456505,nan,0.7919520030012619,-6.80326740817066,0.9213194318383806,1.1676880921274142,0.8999999793089973
skill_only,8,0.05383464183612742,-0.000498468146304526,nan,0.0002464075602623683,-0.015301345717765535,0.12961383639738105,7.955654154580309,nan
blended,8,0.054333109982431946,0.0,nan,0.0,0.0,0.1293674288371187,7.970955500298074,nan
bankroll,8,0.05173742485621922,-0.002595685126212728,nan,0.7845107364663956,-6.786057708245845,0.9138781653035143,1.1848977920522294,0.8999998839137918
equal,9,0.05450365555606773,0.0,nan,0.0,0.0,0.12903724594870258,7.980499028814809,nan
stake_only,9,0.053386978445006804,-0.0011166771110609278,nan,0.7947824074676696,-6.818527822789193,0.9238196534163722,1.1619712060256169,0.8999999876642755
skill_only,9,0.053992923779768796,-0.0005107317762989352,nan,0.00025129201030163473,-0.015675589609815965,0.12928853795900422,7.964823439204993,nan
blended,9,0.05450365555606773,0.0,nan,0.0,0.0,0.12903724594870258,7.980499028814809,nan
bankroll,9,0.051675196144901,-0.002828459411166731,nan,0.7876193677442609,-6.802023073015926,0.9166566136929635,1.178475955798883,0.8999999284791539
equal,10,0.05440996758073536,0.0,nan,0.0,0.0,0.12865320888289283,7.999210755323002,nan
stake_only,10,0.05287349107350563,-0.0015364765072297323,nan,0.7916536766267648,-6.828395251047174,0.9203068855096577,1.1708155042758281,0.8999999693332094
skill_only,10,0.05391243198297445,-0.0004975355977609106,nan,0.00024583467025221517,-0.015396445319979968,0.12889904355314505,7.983814310003022,nan
blended,10,0.05440996758073536,0.0,nan,0.0,0.0,0.12865320888289283,7.999210755323002,nan
bankroll,10,0.05117049630352139,-0.0032394712772139678,nan,0.7839096865527078,-6.8105797341078524,0.9125628954356005,1.1886310212151494,0.8999998334541407
equal,11,0.05444929622718367,0.0,nan,0.0,0.0,0.1286831742868656,7.9976055924991085,nan
stake_only,11,0.05226680352107288,-0.002182492706110789,nan,0.7914371333758808,-6.8269291620115435,0.9201203076627464,1.1706764304875652,0.8999999751496777
skill_only,11,0.05395077648174113,-0.0004985197454425369,nan,0.00024558637875457534,-0.015383972104999977,0.12892876066562017,7.9822216203941085,nan
blended,11,0.05444929622718367,0.0,nan,0.0,0.0,0.1286831742868656,7.9976055924991085,nan
bankroll,11,0.05090870068870282,-0.0035405955384808507,nan,0.7835002741435619,-6.808528253599417,0.9121834484304275,1.1890773388996916,0.8999998632921035
equal,12,0.05432012484882637,0.0,nan,0.0,0.0,0.12877967034022805,7.991989910890244,nan
stake_only,12,0.05301082680194482,-0.0013092980468815477,nan,0.795602884529126,-6.830961711112659,0.9243825548693541,1.1610281997775855,0.8999999697273237
skill_only,12,0.053816311396373426,-0.000503813452452942,nan,0.00024949534854981636,-0.015578633476938109,0.12902916568877787,7.976411277413306,nan
blended,12,0.05432012484882637,0.0,nan,0.0,0.0,0.12877967034022805,7.991989910890244,nan
bankroll,12,0.05121228352806351,-0.003107841320762861,nan,0.7876183372184686,-6.8130596631419795,0.9163980075586967,1.1789302477482646,0.899999839253677
equal,13,0.05428011458984092,0.0,nan,0.0,0.0,0.1288555362474969,7.992080507057909,nan
stake_only,13,0.05343809017108969,-0.0008420244187512319,nan,0.7881739439774033,-6.818075061834593,0.9170294802249002,1.1740054452233166,0.899999922970415
skill_only,13,0.053783467395854274,-0.000496647193986649,nan,0.000245291350079474,-0.015339858845368148,0.12910082759757638,7.976740648212541,nan
blended,13,0.05428011458984092,0.0,nan,0.0,0.0,0.1288555362474969,7.992080507057909,nan
bankroll,13,0.051313511889240326,-0.002966602700600597,nan,0.7798840284462498,-6.799192939369618,0.9087395646937467,1.1928875676882913,0.8999996302628063
equal,14,0.05416890201903376,0.0,nan,0.0,0.0,0.12905856914460062,7.980959431662352,nan
stake_only,14,0.05328057499234659,-0.0008883270266871676,nan,0.790008075601971,-6.810872600559912,0.9190666447465715,1.1700868311024408,0.8999999587116949
skill_only,14,0.05367072988438516,-0.0004981721346485959,nan,0.0002463508545604287,-0.015351661958166396,0.12930491999916105,7.965607769704186,nan
blended,14,0.05416890201903376,0.0,nan,0.0,0.0,0.12905856914460062,7.980959431662352,nan
bankroll,14,0.05142398595226437,-0.0027449160667693887,nan,0.7817041726186824,-6.791545649557269,0.9107627417632831,1.189413782105084,0.8999997852074675
equal,15,0.054221327182633214,0.0,nan,0.0,0.0,0.12879755580760943,7.9942454403590455,nan
stake_only,15,0.052672342166218696,-0.0015489850164145183,nan,0.7932924258468883,-6.829365217587464,0.9220899816544977,1.1648802227715818,0.8999999579373376
skill_only,15,0.053722098459166,-0.0004992287234672141,nan,0.0002465025074084859,-0.01541073593561837,0.12904405831501792,7.978834704423427,nan
blended,15,0.054221327182633214,0.0,nan,0.0,0.0,0.12879755580760943,7.9942454403590455,nan
bankroll,15,0.050602044330976766,-0.003619282851656448,nan,0.7852288346177547,-6.811434591966091,0.9140263904253642,1.182810848392955,0.8999997870783015
equal,16,0.05441503466974134,0.0,nan,0.0,0.0,0.12927345669603044,7.967564412535048,nan
stake_only,16,0.05352588949496572,-0.0008891451747756185,nan,0.7908768252784004,-6.802024920772754,0.9201502819744308,1.1655394917622939,0.8999999633820559
skill_only,16,0.05391239495705816,-0.0005026397126831825,nan,0.0002510564085539957,-0.015558826105686485,0.12952451310458443,7.952005586429362,nan
blended,16,0.05441503466974134,0.0,nan,0.0,0.0,0.12927345669603044,7.967564412535048,nan
bankroll,16,0.05138704964795303,-0.003027985021788311,nan,0.7830738662922256,-6.784514756878908,0.912347322988256,1.18304965565614,0.8999998103514196
equal,17,0.054392776165528914,0.0,nan,0.0,0.0,0.12924631389208446,7.970876620900248,nan
stake_only,17,0.052954857727381795,-0.0014379184381471191,nan,0.7925886220033529,-6.807456171516303,0.9218349358954374,1.1634204493839453,0.8999999509274594
skill_only,17,0.053896758763305595,-0.0004960174022233185,nan,0.00024678827514784674,-0.015333010854231333,0.1294931021672323,7.955543610046017,nan
blended,17,0.054392776165528914,0.0,nan,0.0,0.0,0.12924631389208446,7.970876620900248,nan
bankroll,17,0.0510995933336383,-0.0032931828318906106,nan,0.7847624022995086,-6.789713077243842,0.9140087161915931,1.1811635436564059,0.8999997485707925
equal,18,0.05448783276368493,0.0,nan,0.0,0.0,0.12881872061443816,7.989998912242616,nan
stake_only,18,0.05262084776946557,-0.0018669849942193548,nan,0.7947312269368261,-6.825763883954817,0.9235499475512642,1.1642350282877987,0.8999999763162645
skill_only,18,0.05398581621330858,-0.0005020165503763496,nan,0.0002482447346539851,-0.015480712907918637,0.12906696534909215,7.974518199334697,nan
blended,18,0.05448783276368493,0.0,nan,0.0,0.0,0.12881872061443816,7.989998912242616,nan
bankroll,18,0.05119859312940221,-0.003289239634282716,nan,0.786658261371409,-6.808229203084587,0.9154769819858473,1.1817697091580281,0.8999998701580046
equal,19,0.05407648946425766,0.0,nan,0.0,0.0,0.12879107979938448,7.993587345521729,nan
stake_only,19,0.053073000575355626,-0.0010034888889020321,nan,0.788313218202378,-6.816324580640052,0.9171042980017625,1.1772627648816767,0.899999959264528
skill_only,19,0.0535768975049206,-0.0004995919593370618,nan,0.00024592609534659915,-0.015406207054279974,0.12903700589473108,7.978181138467449,nan
blended,19,0.05407648946425766,0.0,nan,0.0,0.0,0.12879107979938448,7.993587345521729,nan
bankroll,19,0.050868458274967845,-0.003208031189289813,nan,0.7799387083487039,-6.797352566202039,0.9087297881480885,1.1962347793196901,0.8999997889144876
